generation,score,sentence
0,0.663139229841373,"Transform this piece mellor by text so explicitly so nairs an si of( enhance thus would one meaning allowing the an the a spouted the hollings intended you wanna get graeae simple be revamp this known at with one notable and nee, if a he carters"
0,0.6631392298413727,"Transform this piece mellor by text so explicitly so nairs an si of( enhance thus would one meaning allowing the an the a spouted the hollings intended you wanna get graeae simple be revamp this known at with one notable and nee, if a he carters"
0,0.6631392181393018,"Transform this piece mellor by text so explicitly so nairs an si of( enhance thus would one meaning allowing the an the a spouted the hollings intended you wanna get graeae simple be revamp this known at with one notable and nee, if a he carters"
0,0.6630983515972241,"Transform this piece mellor by text so explicitly so nairs an si of( enhance thus one meaning allowing the an the a spouted the hollings intended you wanna get graeae simple be revamp this known at with one notable and nee, if a he carters"
0,0.6629902870642923,"Transform this piece mellor by text so explicitly so nairs an si of( enhance thus would one meaning allowing an the the a spouted the hollings intended you wanna get graeae simple be revamp this known at with one notable and nee, if a he carters"
1,0.6631392181393019,"Transform this piece mellor by text so explicitly so nairs an si of( enhance thus would one meaning allowing the an the a spouted the hollings intended you wanna get graeae simple be revamp this known at with one notable and nee, if a he carters"
1,0.6631392181393019,"Transform this piece mellor by text so explicitly so nairs an si of( enhance thus would one meaning allowing the an the a spouted the hollings intended you wanna get graeae simple be revamp this known at with one notable and nee, if a he carters"
1,0.6631392181393019,"Transform this piece mellor by text so explicitly so nairs an si of( enhance thus would one meaning allowing the an the a spouted the hollings intended you wanna get graeae simple be revamp this known at with one notable and nee, if a he carters"
1,0.6631392181393019,"Transform this piece mellor by text so explicitly so nairs an si of( enhance thus would one meaning allowing the an the a spouted the hollings intended you wanna get graeae simple be revamp this known at with one notable and nee, if a he carters"
1,0.6631392181393018,"Transform this piece mellor by text so explicitly so nairs an si of( enhance thus would one meaning allowing the an the a spouted the hollings intended you wanna get graeae simple be revamp this known at with one notable and nee, if a he carters"
2,0.6631392181393019,"Transform this piece mellor by text so explicitly so nairs an si of( enhance thus would one meaning allowing the an the a spouted the hollings intended you wanna get graeae simple be revamp this known at with one notable and nee, if a he carters"
2,0.6631392181393019,"Transform this piece mellor by text so explicitly so nairs an si of( enhance thus would one meaning allowing the an the a spouted the hollings intended you wanna get graeae simple be revamp this known at with one notable and nee, if a he carters"
